case_id,route_id,trip_id,start_stop,end_stop,first_arrival,last_departure,duration_seconds,duration_label,event_count
FRG-1::170044-0,FRG-1,170044-0,PIMS,Barakahu,2026-04-23T11:50:00+05:00,2026-04-23T12:20:00+05:00,1800,30 min 0 sec,10
FRG-1::170045-0,FRG-1,170045-0,PIMS,Barakahu,2026-04-23T11:55:00+05:00,2026-04-23T12:25:00+05:00,1800,30 min 0 sec,10
FRG-1::170046-0,FRG-1,170046-0,PIMS,Barakahu,2026-04-23T12:00:00+05:00,2026-04-23T12:30:00+05:00,1800,30 min 0 sec,10
FRG-1::170047-0,FRG-1,170047-0,PIMS,Barakahu,2026-04-23T12:05:00+05:00,2026-04-23T12:35:00+05:00,1800,30 min 0 sec,10
FRG-1::170048-0,FRG-1,170048-0,PIMS,Barakahu,2026-04-23T12:10:00+05:00,2026-04-23T12:40:00+05:00,1800,30 min 0 sec,10
FRG-1::170049-0,FRG-1,170049-0,PIMS,Barakahu,2026-04-23T12:15:00+05:00,2026-04-23T12:45:00+05:00,1800,30 min 0 sec,10
FRG-1::170050-0,FRG-1,170050-0,PIMS,Barakahu,2026-04-23T12:20:00+05:00,2026-04-23T12:50:00+05:00,1800,30 min 0 sec,10
FRG-1::170051-0,FRG-1,170051-0,PIMS,Barakahu,2026-04-23T12:25:00+05:00,2026-04-23T12:55:00+05:00,1800,30 min 0 sec,10
FRG-1::170052-0,FRG-1,170052-0,PIMS,Barakahu,2026-04-23T12:30:00+05:00,2026-04-23T13:00:00+05:00,1800,30 min 0 sec,10
FRG-1::170053-0,FRG-1,170053-0,PIMS,Barakahu,2026-04-23T12:35:00+05:00,2026-04-23T13:05:00+05:00,1800,30 min 0 sec,10
FRG-1::170054-0,FRG-1,170054-0,PIMS,Barakahu,2026-04-23T12:40:00+05:00,2026-04-23T13:10:00+05:00,1800,30 min 0 sec,10
FRG-1::170055-0,FRG-1,170055-0,PIMS,Barakahu,2026-04-23T12:45:00+05:00,2026-04-23T13:15:00+05:00,1800,30 min 0 sec,10
FRG-1::170056-0,FRG-1,170056-0,PIMS,Barakahu,2026-04-23T12:50:00+05:00,2026-04-23T13:20:00+05:00,1800,30 min 0 sec,10
FRG-1::170057-0,FRG-1,170057-0,PIMS,Barakahu,2026-04-23T12:55:00+05:00,2026-04-23T13:25:00+05:00,1800,30 min 0 sec,10
FRG-1::170058-0,FRG-1,170058-0,PIMS,Barakahu,2026-04-23T13:00:00+05:00,2026-04-23T13:30:00+05:00,1800,30 min 0 sec,10
FRG-1::170059-0,FRG-1,170059-0,PIMS,Barakahu,2026-04-23T13:05:00+05:00,2026-04-23T13:35:00+05:00,1800,30 min 0 sec,10
FRG-1::170060-0,FRG-1,170060-0,PIMS,Barakahu,2026-04-23T13:10:00+05:00,2026-04-23T13:40:00+05:00,1800,30 min 0 sec,10
FRG-1::170061-0,FRG-1,170061-0,PIMS,Barakahu,2026-04-23T13:15:00+05:00,2026-04-23T13:45:00+05:00,1800,30 min 0 sec,10
FRG-1::170062-0,FRG-1,170062-0,PIMS,Barakahu,2026-04-23T13:20:00+05:00,2026-04-23T13:50:00+05:00,1800,30 min 0 sec,10
FRG-1::170063-0,FRG-1,170063-0,PIMS,Barakahu,2026-04-23T13:25:00+05:00,2026-04-23T13:55:00+05:00,1800,30 min 0 sec,10
FRG-1::170064-0,FRG-1,170064-0,PIMS,Barakahu,2026-04-23T13:30:00+05:00,2026-04-23T14:00:00+05:00,1800,30 min 0 sec,10
FRG-1::170065-0,FRG-1,170065-0,PIMS,Barakahu,2026-04-23T13:35:00+05:00,2026-04-23T14:05:00+05:00,1800,30 min 0 sec,10
FRG-1::170066-0,FRG-1,170066-0,PIMS,Barakahu,2026-04-23T13:40:00+05:00,2026-04-23T14:10:00+05:00,1800,30 min 0 sec,10
FRG-1::170067-0,FRG-1,170067-0,PIMS,Barakahu,2026-04-23T13:45:00+05:00,2026-04-23T14:15:00+05:00,1800,30 min 0 sec,10
FRG-1::170068-0,FRG-1,170068-0,PIMS,Barakahu,2026-04-23T13:50:00+05:00,2026-04-23T14:20:00+05:00,1800,30 min 0 sec,10
FRG-1::170069-0,FRG-1,170069-0,PIMS,Barakahu,2026-04-23T13:55:00+05:00,2026-04-23T14:25:00+05:00,1800,30 min 0 sec,10
FRG-1::170070-0,FRG-1,170070-0,PIMS,Barakahu,2026-04-23T14:00:00+05:00,2026-04-23T14:30:00+05:00,1800,30 min 0 sec,10
FRG-1::170071-0,FRG-1,170071-0,PIMS,Barakahu,2026-04-23T14:05:00+05:00,2026-04-23T14:35:00+05:00,1800,30 min 0 sec,10
FRG-1::170072-0,FRG-1,170072-0,PIMS,Barakahu,2026-04-23T14:10:00+05:00,2026-04-23T14:40:00+05:00,1800,30 min 0 sec,10
FRG-1::170073-0,FRG-1,170073-0,PIMS,Barakahu,2026-04-23T14:15:00+05:00,2026-04-23T14:45:00+05:00,1800,30 min 0 sec,10
FRG-1::170074-0,FRG-1,170074-0,PIMS,Barakahu,2026-04-23T14:20:00+05:00,2026-04-23T14:50:00+05:00,1800,30 min 0 sec,10
FRG-1::170075-0,FRG-1,170075-0,PIMS,Barakahu,2026-04-23T14:25:00+05:00,2026-04-23T14:55:00+05:00,1800,30 min 0 sec,10
FRG-1::170076-0,FRG-1,170076-0,PIMS,Barakahu,2026-04-23T14:30:00+05:00,2026-04-23T15:00:00+05:00,1800,30 min 0 sec,10
FRG-1::170077-0,FRG-1,170077-0,PIMS,Barakahu,2026-04-23T14:35:00+05:00,2026-04-23T15:05:00+05:00,1800,30 min 0 sec,10
FRG-1::170078-0,FRG-1,170078-0,PIMS,Barakahu,2026-04-23T14:40:00+05:00,2026-04-23T15:10:00+05:00,1800,30 min 0 sec,10
FRG-1::170079-0,FRG-1,170079-0,PIMS,Barakahu,2026-04-23T14:45:00+05:00,2026-04-23T15:15:00+05:00,1800,30 min 0 sec,10
FRG-1::170080-0,FRG-1,170080-0,PIMS,Barakahu,2026-04-23T14:50:00+05:00,2026-04-23T15:20:00+05:00,1800,30 min 0 sec,10
